"Date","Price","Open","High","Low","Vol.","Change %"
"08/05/2024","1.5195","1.5158","1.5250","1.5150","","0.27%"
"07/05/2024","1.5154","1.5103","1.5183","1.5048","","0.41%"
"06/05/2024","1.5092","1.5091","1.5141","1.5061","","-0.21%"
"03/05/2024","1.5124","1.5234","1.5240","1.5040","","-0.71%"
"02/05/2024","1.5232","1.5329","1.5351","1.5212","","-0.61%"
"01/05/2024","1.5326","1.5452","1.5469","1.5290","","-0.76%"
"30/04/2024","1.5444","1.5237","1.5453","1.5225","","1.42%"
"29/04/2024","1.5228","1.5306","1.5334","1.5181","","-0.48%"
"26/04/2024","1.5302","1.5341","1.5345","1.5255","","-0.25%"
"25/04/2024","1.5340","1.5394","1.5422","1.5292","","-0.32%"
"24/04/2024","1.5389","1.5418","1.5429","1.5313","","-0.16%"
"23/04/2024","1.5413","1.5507","1.5526","1.5404","","-0.57%"
"22/04/2024","1.5501","1.5601","1.5604","1.5488","","-0.50%"
"19/04/2024","1.5579","1.5569","1.5720","1.5543","","0.05%"
"18/04/2024","1.5571","1.5540","1.5587","1.5486","","0.21%"
"17/04/2024","1.5538","1.5618","1.5627","1.5511","","-0.52%"
"16/04/2024","1.5620","1.5524","1.5652","1.5514","","0.66%"
"15/04/2024","1.5518","1.5468","1.5536","1.5398","","0.32%"
"12/04/2024","1.5468","1.5296","1.5491","1.5280","","1.14%"
"11/04/2024","1.5293","1.5359","1.5383","1.5258","","-0.38%"
"10/04/2024","1.5352","1.5083","1.5389","1.5078","","1.78%"
"09/04/2024","1.5083","1.5143","1.5159","1.5048","","-0.36%"
"08/04/2024","1.5138","1.5200","1.5248","1.5126","","-0.39%"
"05/04/2024","1.5198","1.5178","1.5269","1.5166","","0.13%"
"04/04/2024","1.5179","1.5235","1.5242","1.5105","","-0.35%"
"03/04/2024","1.5232","1.5352","1.5380","1.5219","","-0.70%"
"02/04/2024","1.5340","1.5410","1.5427","1.5326","","-0.42%"
"01/04/2024","1.5404","1.5334","1.5432","1.5291","","0.48%"
"29/03/2024","1.5330","1.5347","1.5375","1.5303","","-0.09%"
"28/03/2024","1.5344","1.5303","1.5422","1.5286","","0.29%"
"27/03/2024","1.5300","1.5306","1.5360","1.5291","","-0.03%"
"26/03/2024","1.5305","1.5292","1.5316","1.5242","","0.11%"
"25/03/2024","1.5288","1.5332","1.5366","1.5274","","-0.38%"
"22/03/2024","1.5347","1.5221","1.5362","1.5197","","0.85%"
"21/03/2024","1.5218","1.5183","1.5242","1.5070","","0.24%"
"20/03/2024","1.5181","1.5307","1.5360","1.5178","","-0.86%"
"19/03/2024","1.5312","1.5246","1.5378","1.5232","","0.46%"
"18/03/2024","1.5242","1.5240","1.5269","1.5208","","0.02%"
"15/03/2024","1.5239","1.5200","1.5263","1.5185","","0.30%"
"14/03/2024","1.5193","1.5103","1.5225","1.5077","","0.60%"
"13/03/2024","1.5103","1.5138","1.5153","1.5069","","-0.20%"
"12/03/2024","1.5133","1.5120","1.5189","1.5061","","0.09%"
"11/03/2024","1.5119","1.5082","1.5162","1.5067","","0.23%"
"08/03/2024","1.5085","1.5105","1.5122","1.4995","","-0.12%"
"07/03/2024","1.5103","1.5233","1.5244","1.5093","","-0.85%"
"06/03/2024","1.5232","1.5380","1.5404","1.5192","","-0.92%"
"05/03/2024","1.5373","1.5354","1.5440","1.5332","","0.12%"
"04/03/2024","1.5354","1.5324","1.5370","1.5299","","0.17%"
"01/03/2024","1.5328","1.5386","1.5410","1.5301","","-0.35%"
"29/02/2024","1.5382","1.5394","1.5418","1.5309","","-0.03%"
"28/02/2024","1.5387","1.5277","1.5412","1.5267","","0.71%"
"27/02/2024","1.5279","1.5288","1.5326","1.5246","","-0.06%"
"26/02/2024","1.5288","1.5249","1.5313","1.5220","","0.33%"
"23/02/2024","1.5237","1.5250","1.5269","1.5195","","-0.12%"
"22/02/2024","1.5256","1.5265","1.5292","1.5160","","0.00%"
"21/02/2024","1.5256","1.5272","1.5309","1.5211","","-0.09%"
"20/02/2024","1.5270","1.5288","1.5337","1.5198","","-0.10%"
"19/02/2024","1.5286","1.5320","1.5329","1.5261","","-0.14%"
"16/02/2024","1.5307","1.5330","1.5394","1.5278","","-0.12%"
"15/02/2024","1.5326","1.5406","1.5441","1.5313","","-0.49%"
"14/02/2024","1.5401","1.5499","1.5515","1.5393","","-0.59%"
"13/02/2024","1.5492","1.5321","1.5524","1.5301","","1.18%"
"12/02/2024","1.5312","1.5341","1.5366","1.5280","","-0.09%"
"09/02/2024","1.5326","1.5399","1.5417","1.5301","","-0.51%"
"08/02/2024","1.5404","1.5338","1.5432","1.5305","","0.48%"
"07/02/2024","1.5330","1.5328","1.5349","1.5288","","0.01%"
"06/02/2024","1.5328","1.5427","1.5439","1.5322","","-0.62%"
"05/02/2024","1.5423","1.5345","1.5460","1.5326","","0.48%"
"02/02/2024","1.5349","1.5217","1.5380","1.5126","","0.89%"
"01/02/2024","1.5214","1.5229","1.5366","1.5198","","-0.09%"
"31/01/2024","1.5228","1.5147","1.5265","1.5098","","0.55%"
"30/01/2024","1.5145","1.5126","1.5211","1.5094","","0.14%"
"29/01/2024","1.5124","1.5196","1.5223","1.5113","","-0.55%"
"26/01/2024","1.5207","1.5189","1.5216","1.5128","","0.14%"
"25/01/2024","1.5186","1.5204","1.5232","1.5126","","-0.11%"
"24/01/2024","1.5202","1.5196","1.5233","1.5100","","0.06%"
